"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Austria","AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19470","20510","21250","21690","22570","23500","24400","25180","26370","27060","28960","29150","30770","31880","33480","34700","37480","39150","41390","40650","42090","44320","46200","47650","48410","49060","52380","53360","56050","60220","59170","64010","71050","70510","71860",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5350","5420","4220","3280","2650","2350","2400","2560","2840","3180","3380","3740","4100","4560","4940","6070","8270","10220","11860","13190","14040","13790","15090","16410","17060","14590","13660","13770","14550","16030","15070","19690","21040","22650","24170",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","630","630","630","610","540","510","510","530","520","530","520","540","520","530","540","580","590","610","600","610","620","640","690","720","800","770","760","760","780","790","840","890","930","950",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18730","19720","20390","20800","22030","22920","23270","24310","24960","26030","28500","29340","30810","31530","32510","33590","35770","37310","38800","38630","40450","41310","43440","44870","46060","46730","48850","50700","53000","57190","56620","61450","68950","70010","73360",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1170","1230","1230","1290","1300","1370","1420","1490","1530","1590","1670","1740","1790","1830","1900","1940","2010","2120","2210","2210","2210","2260","2330","2500","2660","2710","2830","2880","2950","3130","3220","3430","3820","4090","4390",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","620","620","640","640","680","760","790","840","890","900","940","960","1030","1070","1160","1240","1290","1350","1340","1410","1470","1530","1600","1590","1610","1800","1970","2010","2130","2300","2370","2530","2640","2770",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","950","1000","1060","1120","1170","1230","1290","1350","1410","1470","1550","1640","1710","1800","1930","2090","2300","2520","2720","2850","3030","3250","3680","3940","4190","4440","4790","5050","5710","6290","6920","7830","8790","9510","10060",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950","6480","6800","6900","7190","7560","6630","5570","6060","5730","6270","6970","7950","8550","9310","10320","11130","11880","13650","13730","14640","15250","16110","16520","17790","18290","20050","21770","23180","25970","26390","29740","33870","35670","39130",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24900","28990","29790","32060","31610","33810","35130","34690","36210","36750","44560","44510","42620","43400","44290","46050","47010","48670","48520","43540","44890","46050","54930","54320","51750","45470","44920","47500","49270","53440","49770","51550","59070","60550","63610",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19180","18640","18340","18320","18960","21970","24110","21080","21900","23780","24980","25720","26610","26570","27230","28600","29750","30550","30450","28750","28930","29370","30230","29430","30480","30790","30770","32780","32930","34420","25810","29230","34800","37560","",
