"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1440.2947903065","1580.86138318694","1758.50098302416","1965.84337974116","2191.53594072358","2402.12663495375","2630.41819322935","2823.93417231629","2836.88246070721","3007.87955476156","3273.92698517119","3543.21560857475","3855.24636273093","4237.29987110455","4698.1918846842","5247.74928996359","5955.34547709019","6803.25792516231","7471.57372600076","7978.57513102353","8766.92468039247","9580.15229335615","10455.0004424122","11051.882520806","11702.4138663341","12039.1186844226","12630.9115027654","13403.8056091113","14467.7294723317","15577.0808349177","15855.443315392","17767.637641519","19695.1684589686","21456.0537481051","23069.0663665909",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2899.78209788893","3061.64350076853","3191.95719068377","3279.47733744733","3376.03698035164","3498.76149909446","3692.01991941606","3849.83087746833","3814.90388235326","3887.32113219506","4075.74632681624","4192.72795907452","4283.91351987878","4512.7573158079","4845.13917619426","5213.7048568066","5675.26408153451","6111.17395086554","6396.26068344196","6481.99011207767","6881.60107223681","7285.94114395229","7651.20797462786","7874.31484879358","8106.08811446067","8219.45444669298","8523.56525401781","8973.58372125438","9463.90198922867","9783.7094020664","9521.70832661228","10621.7142418178","12076.2059010586","13018.1127283894","13705.1919640084",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3245.53895586717","3487.34422968743","3711.79541956563","3967.46806805779","4253.54544320336","4551.02137587036","4874.04292916587","5132.44962431852","5115.51062309147","5344.74743489925","5755.87566320669","6072.92973130423","6455.88032709078","6892.17684082644","7485.5922765338","8129.75263468248","8966.47301025285","9932.08301056383","10575.2317981711","10918.1294378553","11846.2540484941","12709.5839196365","13614.2230042912","14329.361040309","14980.3038927338","15415.206171759","15971.4925649176","16787.1304274555","17856.9524491122","18963.1658866389","19255.7576420217","21356.4642750981","23509.1070516527","25375.6185155262","27137.7661884698",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6277.59059541993","6151.41272212959","5858.76956537235","5783.17387180316","5195.5206076207","5271.1329114894","5487.83729099894","5836.71300107281","5160.98963036517","5153.80246035878","5580.57624831618","5775.94508348173","6099.2037842056","6526.72673439807","7380.57670825088","8093.77211673765","9200.86482582808","10258.7517126176","11047.9813673102","10719.6453901327","11708.7315029792","12832.4893959044","13659.0974858698","14902.2522555416","15443.3261305428","15883.0196258912","16326.9185485365","17240.5945472634","17777.4027955246","18792.9905588037","19276.3633430681","21216.9179321487","24473.0109923988","26792.2282946257","28118.1051243385",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11828.0648408815","12094.3987201663","12099.2514966659","12202.5361311699","12420.1649348786","12800.6094059543","13242.1981422611","13837.5181090091","14121.1882915418","14684.6960147408","15821.8030458004","16614.7906850304","17376.822919728","18058.126502805","19210.4427294242","20272.7284508658","22392.3322324531","23930.4195387498","25442.5543065471","24869.7635276574","26014.1643636931","27569.6581858722","28319.7376448703","29600.0805529519","30355.8349425658","30752.0539379991","32171.5452294512","33911.1699770483","35660.3879803852","38244.1360080884","37664.7742550585","41997.1766667515","46745.3493068997","48515.8246742276","51228.7506707834",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4250","4550","4730","4870","5110","5250","5320","5570","5680","5250","5270","5650","5990","6170","6620","7120","7570","7800","8460","8480","8830","9610","10100","11140","11660","10690","10670","11530","11860","12190","11130","13290","14950","15550","15420",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3470","3650","3800","3910","4060","4260","4460","4690","4920","5150","5480","5710","5760","5920","6190","6540","7110","7710","8260","8470","8660","8760","10100","10240","10010","10710","10520","10920","12030","12900","14780","15120","16950","17710","18230",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16916.3056120211","17795.7863605663","18302.2732122093","18553.5932419976","19314.1734330372","20204.4274323651","20868.3095576736","21718.4759253113","22697.2853536594","23635.2891450244","25105.4811316932","26245.03952428","27195.1464492458","27705.6257919388","28938.2623174476","30011.0942753115","32530.5179792738","34322.4657777875","35439.3184987593","34804.135325712","35843.6055945406","37585.7040491029","37971.8927935634","39295.2113761822","40331.1680072264","41215.8668650215","43891.3227602685","45959.044311138","48091.6146187987","51599.7960655776","49794.2534936417","54604.6069323536","60068.5292111665","61486.5049896546","64908.0188414572",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020","1150","1380","1390","1430","1570","1610","1610","1560","1680","1690","1600","1600","1660","1670","1720","1530","1560","1580","1720","","","","","","","","","","","","","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13510","14290","14660","14840","15240","16130","16720","17680","18840","19750","21420","22640","24100","24860","25920","27250","30190","31740","32420","31580","31340","31450","31610","32400","33640","35210","37670","39810","41030","44090","39400","44550","50690","52970","56630",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7190","6870","5620","5570","5690","6260","6810","7590","8210","8190","9070","9810","11050","12370","13720","15870","18280","20480","21610","19850","20450","23400","25160","27170","28610","29090","31280","33710","36370","39800","40090","43280","46670","45330","48260",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410","380","340","380","390","410","450","460","430","450","470","510","510","490","550","620","690","770","850","900","990","1100","1180","1250","1480","1630","1850","1990","2090","2230","2390","2580","2830","3050","3270",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14829.0090685514","15421.1820259069","15836.6572887683","16099.4910739039","16821.6111071841","17673.5809930123","18286.6073512134","19008.7402475404","19867.9997464481","20707.0038671958","22033.8138249356","23094.3333029778","24037.1467091395","24596.0505851925","25811.2852722327","26840.8541926879","29182.8933508191","30977.2036696235","32333.6460368222","31861.3700176335","32979.1891129779","34664.9146850442","35152.7181111104","36373.3140488274","37424.1873663532","38387.4238250603","40863.8336989699","42960.8107686691","45129.6732787894","48693.7408311175","47510.9574501481","52139.8679075051","57428.8365444157","58854.4327190536","62279.0047647046",
"Fragile and conflict affected situations","FCS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2631.48424986647","2737.61721075521","2680.69582676324","2574.64797569165","2983.14673212239","3213.82378069373","3477.28050002718","3748.87862148338","3894.48168161827","3853.12199667514","4001.05124068249","4002.59723180317","4257.17470554387","4430.67210288547","4470.1143936712","4324.90204162019","4379.98174614952","4604.36925183155","4784.41783327355","5014.7268031807","4876.30861930733","5072.68326707369","5281.7017915763","5474.32877031964","5563.42788613321",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17800","17050","16550","16630","17720","18980","19610","21460","23110","24510","26610","27790","28680","28880","31420","32180","34760","37950","40150","38440","39460","41020","40920","41560","42000","42640","44760","47250","49450","52460","54110","57710","61890","61900","64340",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3810","3830","4110","4270","4490","4810","5140","5030","5010","5470","5730","5760","6070","6150","6580","6870","6770","6960","7110","7170","7240","7570","8050","8830","10210","11020","11320","11810","12370","12130","10520","10060","12940","14280","14880",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17540","18240","18880","19180","19950","20770","21460","22470","23580","24710","26440","27870","28680","28430","29350","30980","33110","34780","35850","35500","36790","38550","38550","40530","41130","41740","43750","45370","47430","52660","50480","54160","57750","59410","62620",
"Faroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41420","38440","40280","44410","48600","52500","55110","55140","56300","58310","60620","64010","63130","70120","76180","78730","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1950","2100","2120","2290","2290","2360","2310","2120","2180","2290","2450","2540","2580","2670","2700","2870","2970","3040","3010","3190","3240","3390","3430","3460","3430","3970","3950","3940","3620","4170","4160","4400","4560","4660","4690",
"Gabon","GAB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10790","11530","10810","11020","11690","12020","12370","12960","13500","12070","11400","11860","12160","12080","11540","12630","11840","12280","11820","11860","12170","12760","13160","13090","14080","13120","12910","13860","14410","14660","13690","16240","18620","19050","19540",
"United Kingdom","GBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17430","17820","18460","19310","20760","20000","21260","22730","23820","24410","26600","28070","29430","30660","32320","33070","34600","35200","36260","34730","36500","37380","37980","39240","40530","41600","43050","45620","46570","50010","47200","51310","58860","57650","60090",
"Georgia","GEO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5850","4750","2630","1870","1730","1830","2200","2710","2940","3130","3200","3460","3730","4250","4700","5320","6100","6980","7250","7090","7580","8330","9960","10600","11620","11990","12470","13060","14460","16010","16000","17740","20900","23130","26570",
"Ghana","GHA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1570","1660","1730","1800","1860","1930","2010","2080","2150","2220","2280","2370","2450","2560","2700","2890","3040","3230","3500","3610","3810","4280","4750","5070","5230","5040","4810","4920","5290","5760","6110","6410","7080","7070","7730",
"Gibraltar","GIB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","840","850","880","930","960","1000","1030","1080","1100","1150","1180","1220","1310","1260","1300","1330","1440","1540","1590","1530","1600","1670","1760","1750","1830","1900","2230","2670","2800","3080","3300","3590","3990","3960","4200",
"Gambia, The","GMB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1330","1380","1410","1430","1420","1430","1450","1480","1500","1570","1640","1720","1630","1760","1940","1900","1880","1940","2050","2140","2220","2020","2020","1960","1890","1940","1970","2000","2240","2380","2490","2710","3020","3220","3400",
"Guinea-Bissau","GNB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","830","840","850","870","920","1020","1100","840","980","980","1030","1070","1070","1090","1170","1210","1240","1290","1300","1370","1450","1360","1410","1500","1770","1850","2100","1990","2270","2340","2510","2760","2920","3080",
"Equatorial Guinea","GNQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","610","610","820","890","890","950","1520","3950","4370","5630","5070","5410","6790","6350","7850","11240","18510","21280","22620","19660","15360","17630","19900","19080","18480","14690","12900","13570","14100","12060","10310","12600","11840","12250","12330",
"Greece","GRC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13590","14370","14740","14710","15250","15830","16390","17320","18120","18260","19650","21120","22610","23830","25160","25620","27500","28100","29480","29230","27220","24980","24640","25540","26400","26410","27190","28340","29240","31460","29230","33290","38460","39890","43100",
"Grenada","GRD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4360","4620","4680","4610","4760","4860","5120","5430","6040","6480","6830","6700","6950","7750","7670","9610","9470","10150","10430","9460","9810","10160","10120","10860","11120","11670","12710","13430","14420","14800","13380","13950","16340","17020","18240",
"Greenland","GRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19010","19710","19150","18760","20440","21850","22830","23530","25660","26390","28930","29740","29820","28990","31260","34620","34610","40270","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3230","3430","3570","3710","3840","4010","4070","4220","4390","4500","4660","4800","4890","5010","5170","5390","5700","6080","6330","6250","6340","6600","7110","7520","8020","8720","9000","9360","9740","10560","10750","11530","12730","13490","14170",
"Guam","GUM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2690","2810","3220","3700","4170","4490","5060","5390","5400","5580","5720","5950","6110","6240","6560","6690","7120","8080","8400","8780","9370","10040","10690","11280","11220","11470","11400","12030","12190","13030","16490","18310","24050","43650","52320",
"High income","HIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16866.5844123271","17424.0434169413","17925.6177980149","18427.1769125393","19190.0572333458","19959.448227525","20807.6615077772","21771.1867617615","22452.3193340536","23421.5341596796","25014.3967244566","25924.4489748359","26809.2576597306","27875.6916610959","29584.1559578764","31212.3548233493","33546.6126580479","35369.571158679","36619.0434809973","35712.3489819917","37283.1706291714","39037.605880451","40190.4687215189","41617.3239799338","42684.7014134916","43142.0424971689","44318.0359548628","46309.9453786149","48565.2419809258","50953.6289551185","49846.5889137121","55512.9080727536","60969.9097991707","63333.0878114456","66338.4025443161",
"Hong Kong SAR, China","HKG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17740","19130","20580","22900","24170","24930","24880","26590","25610","26390","28450","29470","29800","31980","35270","38280","42730","46710","49590","47240","50240","53710","52900","54530","55640","57080","58190","61840","63800","64310","61580","70450","73140","77560","82340",
"Honduras","HND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1920","1860","1950","2110","2100","2210","2220","2330","2390","2360","2510","2560","2610","2700","2850","3050","3270","3550","3690","3580","3580","3690","3740","3850","4100","4520","4820","5280","5190","5330","5000","5680","6260","6640","6900",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1039.85670727159","1037.87376905866","1036.93462103697","1045.6260204158","1039.31741349833","1079.98726042589","1104.15735444282","1161.52807603435","1186.92518472897","1207.42344947839","1235.45267401351","1277.64068612172","1317.43660576875","1367.22497361241","1442.19443261071","1537.30083266783","1632.37064245153","1727.17946605354","1811.0502726307","1851.74589840448","1917.83346934219","1989.52131888272","2002.24302569302","2075.95773682859","2263.62823445655","2329.91743065943","2426.14399551742","2498.16155043605","2604.42198921502","2734.64999683546","2747.20550108031","2916.1754069925","3170.14109864284","3303.33956100916","3451.6965745745",
"Croatia","HRV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9730","10480","11410","12560","13250","14440","15090","17180","19130","20370","19600","19460","20580","20930","22010","22400","23720","25330","27800","29470","32960","32100","36750","41790","45440","48760",
"Haiti","HTI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2190","2270","2150","2040","1810","1990","2070","2130","2150","2200","2230","2230","2240","2320","2320","2420","2510","2650","2730","2860","2700","2870","2840","3050","3090","3030","3260","3350","3210","3250","3110","3140","3270","3280","3180",
"Hungary","HUN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8790","8040","8030","8230","8630","8810","8950","9250","9780","10190","11190","12470","13720","14610","15270","16030","17240","17650","19360","19800","20700","21920","22270","23910","24670","25680","27460","28570","31050","34780","34810","37730","42820","43980","46400",
"IBRD only","IBD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2904.80528614215","3026.22864897795","3105.01190522793","3229.00554242092","3351.65956167483","3522.98989680197","3731.99948841508","3933.89455852065","3959.56872240663","4106.05562074435","4396.38715309713","4621.5994746321","4854.95394459566","5182.5160997246","5671.67544787572","6201.42739248299","6948.16213137884","7708.60691043961","8324.29550254321","8541.6876386775","9197.37308462645","9886.67261299056","10522.2586039993","11002.6280137803","11391.472149774","11511.5091424849","11949.6486814626","12614.3500942786","13476.100527303","14280.5454573762","14315.0902747339","16121.6721638696","17930.6798554401","19432.2256623977","20682.3721959704",
"IDA & IBRD total","IBT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2577.78349619701","2678.75095331894","2743.02997047306","2843.38134712255","2940.01138881584","3082.47236930041","3252.96133562871","3417.50308060268","3438.86003879045","3557.91158175326","3793.4162357728","3976.52207635836","4162.48306414804","4427.4713023103","4826.27362923158","5260.27742001725","5861.11716410038","6468.39473805543","6952.25501549411","7121.97606334729","7632.59575254817","8166.58568120289","8658.29415025787","9041.03324436487","9366.82034678718","9464.68284213313","9801.60949372299","10315.4223596173","10971.0592251161","11588.9577803762","11595.5793526276","12950.3092104994","14335.6119224952","15436.6674571703","16353.1573420142",
"IDA total","IDA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1317.09098849144","1349.41301463264","1373.45603531426","1399.38522384558","1412.45016108354","1466.97927196854","1513.25063310105","1561.36598728637","1596.25854232573","1641.30748014584","1703.88509581757","1767.81984849711","1819.16725345994","1902.73389583517","2030.37888790907","2186.11730695243","2345.22869058648","2502.35680935633","2615.82050602706","2694.04631477669","2815.65303568058","2937.92894992952","3057.11333983346","3203.79110707847","3404.8352532323","3503.97583921955","3618.91965252553","3778.59287363887","3941.01330573699","4141.08416597889","4184.19968037531","4446.07623797458","4852.65209520319","5066.58104700296","5289.48355895598",
"IDA blend","IDB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3532.24730215126","3620.04962336749","3767.06304806066","3909.64269121077","4054.71609820536","4226.8789834219","4509.53879589283","4614.15292694713","4682.25062683848","4918.71840770111","4980.34792397792","5196.83019067756","5215.93154600211","5505.66147391879","6021.77317153026","6266.70826200547","6514.81764848018",
"Indonesia","IDN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2890","3150","3370","3650","3990","4320","4680","4890","4110","4050","4330","4670","4920","5150","5440","5840","6300","6800","7300","7590","8130","8690","9260","9570","9730","9690","9930","10350","11030","11620","11410","12410","13900","15010","16010",
"IDA only","IDX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","970.838878480609","987.405827162555","1003.60041154542","1035.90115755627","1037.44026100705","1084.01642663159","1132.30803011229","1188.05142779606","1223.3352309652","1261.75012238687","1322.80438981331","1381.01461536856","1435.64750214241","1509.95807434023","1606.32487255648","1730.41524035955","1866.07297815456","2007.71965835741","2125.14401571895","2196.67642623944","2303.11597123231","2413.61197180316","2518.60336552518","2651.31713938382","2807.92577745329","2905.55432147432","3049.97344264187","3169.39953702633","3390.72681960512","3585.09171639894","3643.67644192657","3893.46438055955","4244.08420006929","4444.6840621753","4658.70419886846",
"Isle of Man","IMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","1220","1290","1360","1450","1560","1680","1740","1840","1990","2070","2180","2260","2440","2660","2920","3200","3490","3610","3860","4160","4420","4760","4950","5130","5360","5730","6080","6640","7080","6870","7960","9080","10180","11000",
"Not classified","INX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12770","13430","13920","14630","15810","17310","18820","20450","22480","23590","26340","27830","29530","31280","33430","35050","38790","40450","38230","34640","36330","37140","37860","41160","44450","55650","59480","63120","65460","69420","71520","83550","93150","95120","99470",
"Iran, Islamic Rep.","IRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7250","8240","8530","8570","8550","8830","9470","9670","9860","10080","10750","11090","12070","13220","13810","14380","15260","16710","16880","16890","17870","18500","16430","15650","15490","13700","14590","15090","14920","13350","14090","14950","16400","17620","18420",
"Iraq","IRQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2650","3510","4510","4560","4600","5030","5940","7860","9030","10560","10640","9340","5970","9300","9550","10360","10960","11970","12010","12330","12900","14470","14600","13090","9250","8990","10110","11940","12190","10470","12610","14340","14710","14550",
"Iceland","ISL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21150","21730","21290","21820","22730","23180","24070","26130","27960","28850","28840","30880","32470","32140","34060","35840","37310","39560","35660","34990","33710","36170","38330","44090","45410","49130","54530","55910","58160","62220","57640","61710","72850","78070","78080",
"Israel","ISR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15300","16200","17210","17850","19060","20290","21330","21890","22530","22840","24660","25280","25710","24240","25700","25810","26590","28570","27910","27800","29270","31270","32050","34520","34960","35920","38220","39650","40540","41480","40910","45800","53520","53100","55250",
"Italy","ITA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18440","19300","19860","20180","21020","22160","22870","23820","24940","25600","27040","28050","28700","29110","29540","30180","32590","34130","35100","34460","34900","36300","36240","36400","36670","37140","40590","42370","43850","47030","45000","50380","56770","57590","60460",
"Jamaica","JAM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4370","4660","4930","5740","5720","5960","6170","6120","5990","6070","6210","6340","6430","6760","7020","7240","7710","8000","8140","7690","7780","8050","8260","8430","8550","8710","9000","9540","9660","9800","8700","9300","10570","11300","11410",
"Jordan","JOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4090","3850","4350","4460","4590","4820","4840","5020","5170","5300","5710","6060","6300","6580","7240","7900","8290","8700","9150","9430","9340","9550","9620","9720","9040","8870","8680","9220","9000","9430","9550","9140","9820","10330","10570",
"Japan","JPN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20130","21360","21960","22440","23010","24060","25300","25960","25820","26050","27680","28380","29040","29870","31430","32880","34530","36090","36220","34390","36280","37270","38640","40760","41030","42520","42010","42980","43750","44350","43980","46470","50320","52860","55120",
"Kazakhstan","KAZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6460","5830","5560","5780","6090","6200","6410","6960","8140","9120","9980","11030","11940","13240","14530","14770","15520","16200","17260","18480","21230","21500","21070","20770","21360","22010","25110","26480","28900","31830","34600","37870",
"Kenya","KEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1690","1710","1680","1660","1700","1780","1850","1850","1880","1890","1890","1940","1930","1960","2050","2190","2320","2470","2460","2170","2310","2460","2530","2750","2980","3320","3860","4100","4350","4610","4760","5260","5790","6200","6520",
"Kyrgyz Republic","KGZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2070","1790","1440","1370","1470","1600","1610","1640","1750","1910","1930","2090","2240","2300","2470","2730","2910","2980","2880","2930","3500","3770","4050","3990","4360","4710","4630","4860","5020","5350","6430","7200","7740",
"Cambodia","KHM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","1180","1220","1530","950","990","980","980","990","1100","1210","1310","1380","1540","1710","1960","2210","2480","2670","2750","2900","3120","3450","3730","3940","4250","4560","4850","5390","5880","5750","5970","6650","7260","7820",
"Kiribati","KIR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1470","1930","2100","2060","2120","2290","2010","2390","2640","2370","2560","2690","2560","2300","2290","2280","2410","2530","2490","2340","2480","2430","2790","3260","3730","4500","4130","4530","4620","5250","4630","4730","5080","5740","5990",
